Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,SPY,XOM
2015-03-23,28.312694549560547,18.75550079345703,28.056509017944336,76.35246276855469,45.506324768066406,36.79407501220703,175.16299438476562,53.70123291015625
2015-03-24,28.19696044921875,18.704500198364258,28.660451889038086,75.59619140625,45.00020980834961,36.82841491699219,174.1787567138672,53.129188537597656
2015-03-25,27.46026611328125,18.54800033569336,28.13740348815918,74.39506530761719,44.36757278442383,35.59221649169922,171.62637329101562,53.342926025390625
2015-03-26,27.651674270629883,18.36750030517578,27.970661163330078,74.24677276611328,44.31546401977539,35.377601623535156,171.21759033203125,53.00346755981445
2015-03-27,27.431339263916016,18.527999877929688,27.668445587158203,74.39506530761719,44.32289505004883,35.171566009521484,171.60964965820312,52.53831100463867
2015-03-30,28.12574005126953,18.72949981689453,27.846599578857422,75.29219055175781,45.37236404418945,35.16297149658203,173.70335388183594,53.82695007324219
2015-03-31,27.693958282470703,18.604999542236328,27.527013778686523,74.58786010742188,45.08952331542969,34.90544509887695,172.18521118164062,53.43090057373047
2015-04-01,27.653902053833008,18.51300048828125,27.268468856811523,73.51275634765625,44.91720199584961,34.95695114135742,171.57627868652344,53.09148025512695
2015-04-02,27.892045974731445,18.612499237060547,26.862533569335938,73.87606048583984,45.344268798828125,34.58779525756836,172.1935272216797,52.99088668823242
2015-04-06,28.343862533569336,18.851999282836914,26.993545532226562,73.52018737792969,45.30680847167969,35.66946792602539,173.35293579101562,53.512630462646484
2015-04-07,28.045621871948242,18.720500946044922,27.03870391845703,74.21712493896484,45.591529846191406,35.652305603027344,172.89422607421875,53.90237045288086
2015-04-08,27.954368591308594,19.059999465942383,27.236209869384766,74.26164245605469,45.74136734008789,35.5578727722168,173.47805786132812,52.840023040771484
2015-04-09,28.168031692504883,19.177000045776367,27.195518493652344,75.12908172607422,46.05604934692383,35.60938262939453,174.24549865722656,53.21089553833008
2015-04-10,28.288217544555664,19.13249969482422,27.22132110595703,75.67033386230469,46.2283821105957,35.815425872802734,175.19635009765625,53.782928466796875
2015-04-13,28.232574462890625,19.118000030517578,27.22628402709961,74.55078125,46.50558853149414,35.84976577758789,174.4039764404297,53.644630432128906
2015-04-14,28.110164642333984,19.25550079345703,26.786605834960938,74.52852630615234,47.232364654541016,35.75532913208008,174.73753356933594,54.455535888671875
2015-04-15,28.216989517211914,19.172500610351562,26.849136352539062,74.58786010742188,48.10898208618164,36.27898406982422,175.52163696289062,55.36699676513672
2015-04-16,28.081228256225586,19.302000045776367,26.972206115722656,73.9872817993164,47.80928421020508,36.193145751953125,175.47157287597656,55.146976470947266
2015-04-17,27.765188217163086,18.777999877929688,26.43724822998047,73.83159637451172,47.082523345947266,35.72957229614258,173.4530029296875,54.64411163330078
2015-04-20,28.39950180053711,19.475500106811523,27.02232551574707,74.2986831665039,47.38222885131836,36.83699417114258,175.0378875732422,54.838985443115234
2015-04-21,28.24592399597168,19.55900001525879,26.94243049621582,74.36541748046875,46.6854133605957,36.60521697998047,174.82936096191406,54.61268615722656
2015-04-22,28.62652015686035,19.489999771118164,27.253080368041992,74.46183013916016,47.15744400024414,36.90569305419922,175.68844604492188,54.977272033691406
2015-04-23,28.860210418701172,19.499500274658203,27.663978576660156,74.48406982421875,47.052555084228516,37.20613479614258,176.1305694580078,55.02753829956055
